HC (resources on the Hub),Course,Competency,Brief description (own words),Priority level for PRODUCT,Plans for use,Updates on actual usage,Evidence of strong applications,Other notes
 #confidenceintervals,FA,Analyzing data,,,,,,
 #correlation,FA,Analyzing data,,,,,,
 #descriptivestats,FA,Analyzing data,,,,,,
 #distributions,FA,Analyzing data,,,,,,
 #probability,FA,Analyzing data,,,,,,
 #regression,FA,Analyzing data,,,,,,
 #significance,FA,Analyzing data,,,,,,
 #psychologicalexplanation,CX,Analyzing decisions,,,,,,
 #purpose,CX,Analyzing decisions,,,,,,
 #biasidentification,EA,Analyzing decisions,,,,,,
 #biasmitigation,EA,Analyzing decisions,,,,,,
 #decisiontrees,FA,Analyzing decisions,,,,,,
 #utility,FA,Analyzing decisions,,,,,,
 #breakitdown,EA,Analyzing problems,,,,,,
 #gapanalysis,EA,Analyzing problems,,,,,,
 #rightproblem,EA,Analyzing problems,,,,,,
 #gametheory,FA,Analyzing problems,,,,,,
 #variables,FA,Analyzing problems,,,,,,
 #plausibility,EA,Evaluating claims,,,,,,
 #testability,EA,Evaluating claims,,,,,,
 #estimation,FA,Evaluating claims,,,,,,
 #context,MC,Evaluating claims,,,,,,
 #critique,MC,Evaluating claims,,,,,,
 #interpretivelens,MC,Evaluating claims,,,,,,
 #deduction,FA,Evaluating justifications,,,,,,
 #fallacies,FA,Evaluating justifications,,,,,,
 #induction,FA,Evaluating justifications,,,,,,
 #evidencebased,MC,Evaluating justifications,,,,,,
 #sourcequality,MC,Evaluating justifications,,,,,,
 #casestudy,EA,Applying research methods,,,,,,
 #comparisongroups,EA,Applying research methods,,,,,,
 #interventionalstudy,EA,Applying research methods,,,,,,
 #interviewsurvey,EA,Applying research methods,,,,,,
 #observationalstudy,EA,Applying research methods,,,,,,
 #sampling,EA,Applying research methods,,,,,,
 #studyreplication,EA,Applying research methods,,,,,,
 #dataviz,EA,Facilitating discovery,,,,,,
 #hypothesisdevelopment,EA,Facilitating discovery,,,,,,
 #modeling,EA,Facilitating discovery,,,,,,
 #analogies,EA,Solving problems,,,,,,
 #constraints,EA,Solving problems,,,,,,
 #heuristics,EA,Solving problems,,,,,,
 #scienceoflearning,EA,Solving problems,,,,,,
 #algorithms,FA,Solving problems,,,,,,
 #optimization,FA,Solving problems,,,,,,
 #designthinking,MC,Solving problems,,,,,,
 #audience,MC,Using language,,,,,,
 #composition,MC,Using language,,,,,,
 #connotation,MC,Using language,,,,,,
 #organization,MC,Using language,,,,,,
 #professionalism,MC,Using language,,,,,,
 #thesis,MC,Using language,,,,,,
 #communicationdesign,MC,Using nonverbal communication,,,,,,
 #expression,MC,Using nonverbal communication,,,,,,
 #medium,MC,Using nonverbal communication,,,,,,
 #multimedia,MC,Using nonverbal communication,,,,,,
 #emergentproperties,CX,Interacting with complex systems,,,,,,
 #levelsofanalysis,CX,Interacting with complex systems,,,,,,
 #systemmapping,CX,Interacting with complex systems,,,,,,
 #complexcausality,CX,Interacting with complex systems,,,,,,
 #networks,CX,Interacting with complex systems,,,,,,
 #systemdynamics,CX,Interacting with complex systems,,,,,,
 #carrotandstick,CX,Negotiating and persuading,,,,,,
 #negotiate,CX,Negotiating and persuading,,,,,,
 #nudge,CX,Negotiating and persuading,,,,,,
 #persuasion,MC,Negotiating and persuading,,,,,,
 #confidence,MC,Negotiating and persuading,,,,,,
 #ethicalconsiderations,CX,Resolving ethical problems,,,,,,
#ethicaljudgment,CX,Resolving ethical problems,,,,,,
#ethicalcourage,CX,Resolving ethical problems,,,,,,
 #conformity,CX,Working with others,,,,,,
 #differences,CX,Working with others,,,,,,
 #emotionaliq,CX,Working with others,,,,,,
 #leadprinciples,CX,Working with others,,,,,,
 #powerdynamics,CX,Working with others,,,,,,
 #responsibility,CX,Working with others,,,,,,
 #selfawareness,CX,Working with others,,,,,,
 #strategize,CX,Working with others,,,,,,
