College,Course,LO (please exclude the hashtag),Rubric,Description,Last Update
Arts & Humanities,,,,,
AH,AH110,globalruptures,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalruptures,"Analyze how economic, social, political, intellectual, environmental, and cultural watersheds contributed to global ruptures and convergences in the modern era.",Dec/2020
AH,AH110,globalpast,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalpast,Place a historical phenomenon in global perspective and evaluate how a global perspective enhances or limits our ability to conceptualize the past.,
AH,AH110,glocalization,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-glocalization,Analyze the mutually-impacting relationship between local and global developments in history.,
AH,AH110,historicaldebate,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicaldebate,"Analyze the way in which secondary sources on history respond to, build on, or challenge one another in terms of research question, argument, scales of analysis, and methodological and analytical frameworks.",
AH,AH110,historicalperspective,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalperspective,Identify and analyze the assumptions and biases undergirding the production of primary and secondary sources. All historical actors and historians write from a particular perspective; an effective historical analysis requires careful consideration of this perspective and the way in which it shapes what and how a particular text or other source is written or imagined.,
AH,AH110,historicalsilences,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalsilences,"Identify and analyze silences and marginalized voices in the making and recording of
history",
AH,AH110,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-evidencebased,Identify and appropriately structure the information needed to support an argument effectively.,
AH,AH110,historicalargument,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalargument,Construct a historical argument based on primary and secondary source analysis.,
AH,AH110,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-primarysources,"Locate, contextualize, and close-read historical evidence",
AH,AH110,identityanddifference,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-identityanddifference,"Analyze shifting historical perceptions of dierence along racial, ethnic, gender, and religious lines.",
AH,AH110,socialorder,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-socialorder,"Evaluate the use of dierent forms of thought (political, epistemological, economic, scientific, and religious) as tools to order societies and analyze how these forms of thought are impacted by societal developments.",
AH,AH110,globalscienceandtech,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalscienceandtech,"Analyze how the production of scientific knowledge and innovations in technology shaped and were shaped by political and social life across eras, cultures, and continents.",Not used anymore
AH,AH110,migrationincontext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-migrationincontext,"Historicize, and evaluate frameworks for analyzing, the motivations for and impacts of the movement of peoples and their cultures.",
AH,AH110,historicalagency,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalagency,"Analyze the role of agency (human and non-human) in the making and recording of
history.",
AH,AH110,historiography,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historiography,"Critically analyze secondary sources with respect to scope and framing of research question, argument, scales of analysis, sources, and methodological and analytical frameworks and situate them with respect to existing literature on the topic.",
AH,AH110,raceandethnicity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-raceandethnicity,Analyze and situate historically shifting conceptions and perceptions of racial and ethnic difference from a global perspective.,
AH,AH111,deduction,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-deduction,Analyze and apply deductive logic.,Dec/2020
AH,AH111,distinctions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-distinctions,"Apply concepts and distinctions related to morality, justice and the good life.",
AH,AH111,ethicalframing,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-ethicalframing,"Identify ethical problems, framing them in a way that helps to resolve them",
AH,AH111,ethicaltheory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-ethicaltheory,"Identify or explain the main claims, concepts, criticisms and justifications of an ethical theory.",
AH,AH111,antiobjmorality,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-antiobjmorality,"Identify and apply theories opposed to objective morality including from perspectives including relativism, subjectivism, skepticism, and non-cognitivism, and analyze and evaluate arguments challenging objective morality",
AH,AH111,objmorality,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-objmorality,"Identify and apply theories of moral truth and moral objectivity, and analyze and evaluate arguments related to moral objectivity and moral truth.",
AH,AH111,goodlife,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-goodlife,"Identify, analyze, and evaluate theories regarding the nature of human beings and how we should interact with others, and apply them to the issue of how to live well",
AH,AH111,authoritylegitimacy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-authoritylegitimacy,"Identify and apply theories of political authority and obligation, or analyzes and evaluates arguments related to political legitimacy and the social contract.",
AH,AH111,distributivejustice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-distributivejustice,"Identify and apply theories of distributive justice, and analyze and evaluate arguments related to distributive justice.",
AH,AH111,justice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-justice,"Identify competing definitions of justice, and analyze and evaluate arguments regarding justice.",
AH,AH112,arttheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-arttheories,Engage critically with theories about art's interaction with identity and society,Dec/2020
AH,AH112,mediaanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-mediaanalysis,"Analyze elements of visual, musical, literary, multimedia, and/or conceptual art",
AH,AH112,process,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-process,Deliver work products on time,
AH,AH112,qualitydeliverables,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-qualitydeliverables,"Submit work products with the scope, depth, and rigor appropriate to the project or setting.",
AH,AH112,artcontext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artcontext,"Examine the relationship of art to its social, economic, and political environment in a specific historical and cultural context.",
AH,AH112,bodytheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-bodytheories,Engage cirtically with theories about the body and identity.,Not used anymore
AH,AH112,communitiestheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-communitiestheories,Engage cirtically with theories about the body and identity.,
AH,AH112,conceptualanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-conceptualanalysis,Analyze elements of conceptual art.,
AH,AH112,litanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-litanalysis,Analyze formal elements of literature.,
AH,AH112,multimediaanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-multimediaanalysis,Analyze how elements of multimedia art work in conjunction with one another.,
AH,AH112,musicanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-musicanalysis,Analyze formal elements of music.,
AH,AH112,visartanalysis,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-visartanalysis,Analyze formal events of visual art.,
AH,AH112,artasresistance,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artasresistance,Analyze and critique art that is used as an oppositional force to resist power to challenge the status quo.,
AH,AH112,artimpact,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artimpact,Assess the sociopolitical impact of art.,
AH,AH112,artinterventions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artinterventions,Critique artistic interventions in the sociopoloitcal field.,
AH,AH112,historicizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-historicizeart,"Historicize art in its politicl, social, and cultural context.",
AH,AH112,artessay,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artessay,Synthesize theory and practice in a written essay analyzing selected artist or artwork.,
AH,AH112,artoralpresentation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH112-artoralpresentation,Synthesize theory and practice in an oral essay analyzing selected artist or artwork.,
AH,AH142,historyrepos,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historyrepos,Historicize the creation and critically analyze the benefits and limitations of standard and nonstandard repositories of historical sources.,Dec/2020
AH,AH142,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-primarysources,"Locate, contextualize, and critically analyze historical evidence.",
AH,AH142,professionalstandards,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-professionalstandards,"Deliver high-quality, substantial work products that meet the standards of the discipline.",
AH,AH142,historicalsilences,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalsilences,"Evaluate how historical narratives ignore, uncover, recover, or provoke silences in the historical record.",
AH,AH142,historicizehistory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicizehistory,"Historicize the intellectual influences and legacies of historical scholarship in its changing political, social, and cultural contexts.",
AH,AH142,historylenses,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historylenses,Identify and evaluate the application of different theories and philosophies of history in the creation of interpretative arguments about the past.,
AH,AH142,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-evidencebased,Identify and appropriately structure the information needed to support an argument effectively.,
AH,AH142,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalarguments,Craft and evaluate the historiographical contributions of evidence-based interpretive arguments about the past.,
AH,AH142,historicalnarrative,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH142-historicalnarrative,"Craft, and analyze the elements of, compelling historical narratives.",
AH,AH144,distributionethics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-distributionethics,Explain and evaluate the specific ethical dilemmas posed by the distribution of a public good.,Dec/2020
AH,AH144,internationalethics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-internationalethics,Explain and evaluate the specific ethical dilemmas posed by an international issue.,
AH,AH144,lifeethics,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-lifeethics,Analyze and evaluate the ethical challenge posed by taking or saving a life.,
AH,AH144,moralstatus,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-moralstatus,Analyze and explain the moral status of different entities and evaluate what course of action should be taken given that status.,
AH,AH144,ethicalconflicts,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-ethicalconflicts,Resolve conflicts among competing ethical claims and act in a way that best satisfies relevant ethical considerations.,
AH,AH144,ethicalframing,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-ethicalframing,"Identify ethical problems, framing them in a way that helps to resolve them.",
AH,AH144,ethicaltheory,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH144-ethicaltheory,"Identify or explain the main claims, concepts, criticisms and justifications of an ethical theory.",
AH,AH146,artessay,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-artessay,Synthesize theory and practice in a written essay analyzing selected artist or artwork.,Dec/2020
AH,AH146,artoralpresentation,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-artoralpresentation,Synthesize theory and practice in an oral discussion or presentation analyzing selected artist or artwork.,
AH,AH146,interpretingforms,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-interpretingforms,Critically examine and apply interpretive methods and theories of form.,
AH,AH146,readingsigns,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-readingsigns,"Evaluate and historicize how signs, icons, and bodies appear and become meaningful in artworks",
AH,AH146,readingstructures,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-readingstructures,Evaluate and historicize how psychological forces and cultural discourses shape art and literature.,
AH,AH146,framingdisciplines,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-framingdisciplines,Evaluate and historicize boundaries among disciplines and between artworks and their audiences,
AH,AH146,rupturesanddislocations,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-rupturesanddislocations,"Assess the repercussions of the global movements of people, ideas, and cultures on the creation or interpretation of art.",
AH,AH146,contentandform,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-contentandform,Describe and analyze art at the level of content and form.,Not used anymore
AH,AH146,historicizeart,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-historicizeart,"Historicize art in its political, social, and cultural context",
AH,AH146,historiographies,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-historiographies,Critically examine different approaches to constructing and telling the histories of the arts and literature.,
AH,AH146,methodsandtheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-methodsandtheories,Critically examine and apply interpretive methods and theories of art.,
AH,AH146,bodytheories,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-bodytheories,Engage critically with theories about the body and identity.,
AH,AH146,boundariesandframes,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH146-boundariesandframes,Evaluate and historicize boundaries among disciplines and between artworks and their audiences.,
AH,AH152,ideasandsociety,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-ideasandsociety,"Analyze and situate historically the connection between ideas and social, economic, cultural, and political practices.",Dec/2020
AH,AH152,societyandhistorymethods,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-societyandhistorymethods,,
AH,AH152,structureandagency,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-structureandagency,Analyze the role of and relationship between human agency and structural factors in historical contexts.,
AH,AH152,causationincontext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-causationincontext, Critique and develop causal explanations for historical phenomena.,
AH,AH152,connectionincontext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-connectionincontext,Combine comparative and trans.national perspectives to historicize the transfer of ideas or practices across multiple cases,
AH,AH152,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-evidencebased,Identify and appropriately structure the information needed to support an argument effectively.,
AH,AH152,historicalarguments,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-historicalarguments,"Craft, and evaluate the historiographical contributions of, arguments about the past.",
AH,AH152,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-primarysources,"Locate, contextualize, and close read historical evidence.",
AH,AH152,comparativemethods,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-comparativemethods,Identify and assess the strengths and weaknesses of different approaches historians use to compare societies and histories.,
AH,AH152,criticalcasestudy,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-criticalcasestudy,"Evaluate the arguments, sources, and analytical frameworks employed in historical case studies and determine when and how effective comparisons can be made.",
AH,AH152,historyscales,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH152-historyscales,"Evaluate the advantages and disadvantages of different thematic, geographic, and temporal scales to conceptualize historical phenomena and explain the benefits and limitations of units of analysis for comparative historical inquiry.",
