Polls ID,Poll Responses Response,Assessment reports Hashtag,Assessment reports Score,time_stamp,tokenized_responses,stemmed_responses,clean_responses,string,LOs/ HCs,College,Course,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,dale_chall_readability_score,linsear_write_formula
44845,"Prediction. In today's world, causal inferece is really unimportant, because #multiplecauses suggest that controlling for only one cause to happen is meaningless. In the case of cancer diagnosis, for example, we don't care about whether smoking alone contributes to breast cancer. Instead, each person is unique, and we need to input a vector of that person {age,...} to get a P(Cancer | person X).",#decisioninference,3,480,"['Prediction', 'In', ""today's"", 'world', 'causal', 'inferece', 'is', 'really', 'unimportant', 'because', 'multiplecauses', 'suggest', 'that', 'controlling', 'for', 'only', 'one', 'cause', 'to', 'happen', 'is', 'meaningless', 'In', 'the', 'case', 'of', 'cancer', 'diagnosis', 'for', 'example', 'we', ""don't"", 'care', 'about', 'whether', 'smoking', 'alone', 'contributes', 'to', 'breast', 'cancer', 'Instead', 'each', 'person', 'is', 'unique', 'and', 'we', 'need', 'to', 'input', 'a', 'vector', 'of', 'that', 'person', 'age', 'to', 'get', 'a', 'P', 'Cancer', 'person', 'X']","['predict', 'in', 'today', 'world', 'causal', 'inferec', 'is', 'realli', 'unimport', 'becaus', 'multiplecaus', 'suggest', 'that', 'control', 'for', 'onli', 'one', 'caus', 'to', 'happen', 'is', 'meaningless', 'in', 'the', 'case', 'of', 'cancer', 'diagnosi', 'for', 'exampl', 'we', ""don't"", 'care', 'about', 'whether', 'smoke', 'alon', 'contribut', 'to', 'breast', 'cancer', 'instead', 'each', 'person', 'is', 'uniqu', 'and', 'we', 'need', 'to', 'input', 'a', 'vector', 'of', 'that', 'person', 'age', 'to', 'get', 'a', 'p', 'cancer', 'person', 'x']","['predict', 'today', 'world', 'causal', 'inferec', 'realli', 'unimport', 'becaus', 'multiplecaus', 'suggest', 'control', 'onli', 'one', 'caus', 'happen', 'meaningless', 'case', 'cancer', 'diagnosi', 'exampl', 'care', 'whether', 'smoke', 'alon', 'contribut', 'breast', 'cancer', 'instead', 'person', 'uniqu', 'need', 'input', 'vector', 'person', 'age', 'get', 'p', 'cancer', 'person', 'x']",predict today world causal inferec realli unimport becaus multiplecaus suggest control onli one caus happen meaningless case cancer diagnosi exampl care whether smoke alon contribut breast cancer instead person uniqu need input vector person age get p cancer person x,decisioninference,CS,CS112,13.96,21.3,22.0,0.0,25.4,16.37,14.7,26.0
88971,"/ pick a appropriate type of distribution (e.g. beta). / Figure out parameter values given hypothesis (\theta | H) (e.g. hypothesize no treatment effect, parameter value should be  and  for beta). From these infor we can get P(likelihood) 
/ According to Bayes' rule, calculate P(prior) and P(evidence) or we can just say (H|\theta) is proportional to what we get in .",#exactinference,4,1810,"['pick', 'a', 'appropriate', 'type', 'of', 'distribution', 'e', 'g', 'beta', 'Figure', 'out', 'parameter', 'values', 'given', 'hypothesis', 'theta', 'H', 'e', 'g', 'hypothesize', 'no', 'treatment', 'effect', 'parameter', 'value', 'should', 'be', 'and', 'for', 'beta', 'From', 'these', 'infor', 'we', 'can', 'get', 'P', 'likelihood', 'According', 'to', ""Bayes'"", 'rule', 'calculate', 'P', 'prior', 'and', 'P', 'evidence', 'or', 'we', 'can', 'just', 'say', 'H', 'theta', 'is', 'proportional', 'to', 'what', 'we', 'get', 'in']","['pick', 'a', 'appropri', 'type', 'of', 'distribut', 'e', 'g', 'beta', 'figur', 'out', 'paramet', 'valu', 'given', 'hypothesi', 'theta', 'h', 'e', 'g', 'hypothes', 'no', 'treatment', 'effect', 'paramet', 'valu', 'should', 'be', 'and', 'for', 'beta', 'from', 'these', 'infor', 'we', 'can', 'get', 'p', 'likelihood', 'accord', 'to', 'bay', 'rule', 'calcul', 'p', 'prior', 'and', 'p', 'evid', 'or', 'we', 'can', 'just', 'say', 'h', 'theta', 'is', 'proport', 'to', 'what', 'we', 'get', 'in']","['pick', 'appropri', 'type', 'distribut', 'e', 'g', 'beta', 'figur', 'paramet', 'valu', 'given', 'hypothesi', 'theta', 'h', 'e', 'g', 'hypothes', 'treatment', 'effect', 'paramet', 'valu', 'beta', 'infor', 'get', 'p', 'likelihood', 'accord', 'bay', 'rule', 'calcul', 'p', 'prior', 'p', 'evid', 'say', 'h', 'theta', 'proport', 'get']",pick appropri type distribut e g beta figur paramet valu given hypothesi theta h e g hypothes treatment effect paramet valu beta infor get p likelihood accord bay rule calcul p prior p evid say h theta proport get,decisioninference,CS,CS112,31.89,18.5,18.68,0.0,19.2,9.35,14.88,22.5
92211,"To be honest, I don't know how to do it mathematically. I am just scratching basic ideas. p(\theta | y) = p(/theta | y)d\theta. I know this p(-a\theta + blog\theta + f(y)) will somehow transform into a likelihood function and maybe it can be broken down by P(\theta | y, \theta) in some ways.",#exactinference,1,2205,"['To', 'be', 'honest', 'I', ""don't"", 'know', 'how', 'to', 'do', 'it', 'mathematically', 'I', 'am', 'just', 'scratching', 'basic', 'ideas', 'p', 'theta', 'y', 'p', 'theta', 'y', 'd', 'theta', 'I', 'know', 'this', 'p', 'a', 'theta', 'blog', 'theta', 'f', 'y', 'will', 'somehow', 'transform', 'into', 'a', 'likelihood', 'function', 'and', 'maybe', 'it', 'can', 'be', 'broken', 'down', 'by', 'P', 'theta', 'y', 'theta', 'in', 'some', 'ways']","['to', 'be', 'honest', 'i', ""don't"", 'know', 'how', 'to', 'do', 'it', 'mathemat', 'i', 'am', 'just', 'scratch', 'basic', 'idea', 'p', 'theta', 'y', 'p', 'theta', 'y', 'd', 'theta', 'i', 'know', 'this', 'p', 'a', 'theta', 'blog', 'theta', 'f', 'y', 'will', 'somehow', 'transform', 'into', 'a', 'likelihood', 'function', 'and', 'mayb', 'it', 'can', 'be', 'broken', 'down', 'by', 'p', 'theta', 'y', 'theta', 'in', 'some', 'way']","['honest', 'know', 'mathemat', 'scratch', 'basic', 'idea', 'p', 'theta', 'p', 'theta', 'theta', 'know', 'p', 'theta', 'blog', 'theta', 'f', 'somehow', 'transform', 'likelihood', 'function', 'mayb', 'broken', 'p', 'theta', 'theta', 'way']",honest know mathemat scratch basic idea p theta p theta theta know p theta blog theta f somehow transform likelihood function mayb broken p theta theta way,decisioninference,CS,CS112,60.99,11.5,13.76,0.0,14.6,10.74,10.82,15.5
92211,"p(theta, theta|y) = p(y|theta, theta) * P(theta, theta)
=e^(-atheta*btheta*e^f(y))
p(theta|y) = f(p(theta, theta|y)d theta) = 
p(theta_|y) = -(b\theta_ * e^(f(y)-a\theta_))",#exactinference,1,2205,"['p', 'theta', 'theta', 'y', 'p', 'y', 'theta', 'theta', 'P', 'theta', 'theta', 'e', 'atheta', 'btheta', 'e', 'f', 'y', 'p', 'theta', 'y', 'f', 'p', 'theta', 'theta', 'y', 'd', 'theta', 'p', 'theta_', 'y', 'b', 'theta_', 'e', 'f', 'y', 'a', 'theta_']","['p', 'theta', 'theta', 'y', 'p', 'y', 'theta', 'theta', 'p', 'theta', 'theta', 'e', 'atheta', 'btheta', 'e', 'f', 'y', 'p', 'theta', 'y', 'f', 'p', 'theta', 'theta', 'y', 'd', 'theta', 'p', 'theta_', 'y', 'b', 'theta_', 'e', 'f', 'y', 'a', 'theta_']","['p', 'theta', 'theta', 'p', 'theta', 'theta', 'p', 'theta', 'theta', 'e', 'atheta', 'btheta', 'e', 'f', 'p', 'theta', 'f', 'p', 'theta', 'theta', 'theta', 'p', 'theta_', 'b', 'theta_', 'e', 'f', 'theta_']",p theta theta p theta theta p theta theta e atheta btheta e f p theta f p theta theta theta p theta_ b theta_ e f theta_,decisioninference,CS,CS112,93.82,7.1,11.2,0.0,8.2,2.27,9.54,14.0
92211,"To derive the marginal posterior dist. over theta  we need to integrate out theta . We start with P(theta |theta, y) = integral of (-a + b*log(theta )+f(y)) )d theta . The posterior dist is proportional to inverse: -X^(n-,S^).",#exactinference,2,2205,"['To', 'derive', 'the', 'marginal', 'posterior', 'dist', 'over', 'theta', 'we', 'need', 'to', 'integrate', 'out', 'theta', 'We', 'start', 'with', 'P', 'theta', 'theta', 'y', 'integral', 'of', 'a', 'b', 'log', 'theta', 'f', 'y', 'd', 'theta', 'The', 'posterior', 'dist', 'is', 'proportional', 'to', 'inverse', 'X', 'n', 'S']","['to', 'deriv', 'the', 'margin', 'posterior', 'dist', 'over', 'theta', 'we', 'need', 'to', 'integr', 'out', 'theta', 'we', 'start', 'with', 'p', 'theta', 'theta', 'y', 'integr', 'of', 'a', 'b', 'log', 'theta', 'f', 'y', 'd', 'theta', 'the', 'posterior', 'dist', 'is', 'proport', 'to', 'invers', 'x', 'n', 's']","['deriv', 'margin', 'posterior', 'dist', 'theta', 'need', 'integr', 'theta', 'start', 'p', 'theta', 'theta', 'integr', 'b', 'log', 'theta', 'f', 'theta', 'posterior', 'dist', 'proport', 'invers', 'x', 'n']",deriv margin posterior dist theta need integr theta start p theta theta integr b log theta f theta posterior dist proport invers x n,decisioninference,CS,CS112,47.12,12.7,12.93,0.0,12.0,9.35,13.38,16.0
92219,"The question essentially asks how we'd marginalize out \theta_, which we would do by averaging (integrating) over it. Thus, P(\theta_ | y) = \int_{\theta_} [ \big (-\theta_ \theta_^ + f(y)P(y | \theta_) \big)  d\theta_ ]. We can evaluate each side of the integral separately, but I don't think I have it set up entirely properly. The f(y) side would evaluate to the expected value of f(y) conditional on the distribution of y|\theta_, and the left side evaluates to (\theta_)^/ * the expected value of \theta_ | \theta_, I think.",#exactinference,2,2207,"['The', 'question', 'essentially', 'asks', 'how', ""we'd"", 'marginalize', 'out', 'theta_', 'which', 'we', 'would', 'do', 'by', 'averaging', 'integrating', 'over', 'it', 'Thus', 'P', 'theta_', 'y', 'int_', 'theta_', 'big', 'theta_', 'theta_', 'f', 'y', 'P', 'y', 'theta_', 'big', 'd', 'theta_', 'We', 'can', 'evaluate', 'each', 'side', 'of', 'the', 'integral', 'separately', 'but', 'I', ""don't"", 'think', 'I', 'have', 'it', 'set', 'up', 'entirely', 'properly', 'The', 'f', 'y', 'side', 'would', 'evaluate', 'to', 'the', 'expected', 'value', 'of', 'f', 'y', 'conditional', 'on', 'the', 'distribution', 'of', 'y', 'theta_', 'and', 'the', 'left', 'side', 'evaluates', 'to', 'theta_', 'the', 'expected', 'value', 'of', 'theta_', 'theta_', 'I', 'think']","['the', 'question', 'essenti', 'ask', 'how', ""we'd"", 'margin', 'out', 'theta_', 'which', 'we', 'would', 'do', 'by', 'averag', 'integr', 'over', 'it', 'thus', 'p', 'theta_', 'y', 'int_', 'theta_', 'big', 'theta_', 'theta_', 'f', 'y', 'p', 'y', 'theta_', 'big', 'd', 'theta_', 'we', 'can', 'evalu', 'each', 'side', 'of', 'the', 'integr', 'separ', 'but', 'i', ""don't"", 'think', 'i', 'have', 'it', 'set', 'up', 'entir', 'proper', 'the', 'f', 'y', 'side', 'would', 'evalu', 'to', 'the', 'expect', 'valu', 'of', 'f', 'y', 'condit', 'on', 'the', 'distribut', 'of', 'y', 'theta_', 'and', 'the', 'left', 'side', 'evalu', 'to', 'theta_', 'the', 'expect', 'valu', 'of', 'theta_', 'theta_', 'i', 'think']","['question', 'essenti', 'ask', ""we'd"", 'margin', 'theta_', 'averag', 'integr', 'thus', 'p', 'theta_', 'int_', 'theta_', 'big', 'theta_', 'theta_', 'f', 'p', 'theta_', 'big', 'theta_', 'evalu', 'side', 'integr', 'separ', 'think', 'set', 'entir', 'proper', 'f', 'side', 'evalu', 'expect', 'valu', 'f', 'condit', 'distribut', 'theta_', 'left', 'side', 'evalu', 'theta_', 'expect', 'valu', 'theta_', 'theta_', 'think']",question essenti ask we'd margin theta_ averag integr thus p theta_ int_ theta_ big theta_ theta_ f p theta_ big theta_ evalu side integr separ think set entir proper f side evalu expect valu f condit distribut theta_ left side evalu theta_ expect valu theta_ theta_ think,decisioninference,CS,CS112,40.69,19.3,21.35,0.0,24.7,11.39,11.01,27.5
92227,"In this case theta is an example of a nuisance parameter because we want to find the marginal posterior P(theta I y) which does not include theta. I think that to find p(theta I y) I will take the integral of p( theta, theta I y)dtheta. This would be the integral of [(-thetatheta^)+f(y)]dtheta. So maybe it would be -(thetatheta^)/+y'? I am not really sure about the actual derivation.",#exactinference,2,2209,"['In', 'this', 'case', 'theta', 'is', 'an', 'example', 'of', 'a', 'nuisance', 'parameter', 'because', 'we', 'want', 'to', 'find', 'the', 'marginal', 'posterior', 'P', 'theta', 'I', 'y', 'which', 'does', 'not', 'include', 'theta', 'I', 'think', 'that', 'to', 'find', 'p', 'theta', 'I', 'y', 'I', 'will', 'take', 'the', 'integral', 'of', 'p', 'theta', 'theta', 'I', 'y', 'dtheta', 'This', 'would', 'be', 'the', 'integral', 'of', 'thetatheta', 'f', 'y', 'dtheta', 'So', 'maybe', 'it', 'would', 'be', 'thetatheta', ""y'"", 'I', 'am', 'not', 'really', 'sure', 'about', 'the', 'actual', 'derivation']","['in', 'this', 'case', 'theta', 'is', 'an', 'exampl', 'of', 'a', 'nuisanc', 'paramet', 'becaus', 'we', 'want', 'to', 'find', 'the', 'margin', 'posterior', 'p', 'theta', 'i', 'y', 'which', 'doe', 'not', 'includ', 'theta', 'i', 'think', 'that', 'to', 'find', 'p', 'theta', 'i', 'y', 'i', 'will', 'take', 'the', 'integr', 'of', 'p', 'theta', 'theta', 'i', 'y', 'dtheta', 'this', 'would', 'be', 'the', 'integr', 'of', 'thetatheta', 'f', 'y', 'dtheta', 'so', 'mayb', 'it', 'would', 'be', 'thetatheta', ""y'"", 'i', 'am', 'not', 'realli', 'sure', 'about', 'the', 'actual', 'deriv']","['case', 'theta', 'exampl', 'nuisanc', 'paramet', 'becaus', 'want', 'find', 'margin', 'posterior', 'p', 'theta', 'doe', 'includ', 'theta', 'think', 'find', 'p', 'theta', 'take', 'integr', 'p', 'theta', 'theta', 'dtheta', 'integr', 'thetatheta', 'f', 'dtheta', 'mayb', 'thetatheta', ""y'"", 'realli', 'sure', 'actual', 'deriv']",case theta exampl nuisanc paramet becaus want find margin posterior p theta doe includ theta think find p theta take integr p theta theta dtheta integr thetatheta f dtheta mayb thetatheta y' realli sure actual deriv,decisioninference,CS,CS112,34.94,17.3,19.96,0.0,20.1,12.14,13.76,24.0
96886,") The hyperparameters of the posterior are alpha+sum of all x_i, beta + number of trials. Thus, we'd need the sum of all x_i (n should be contained with this, otherwise, n should be needed as well)

) P(lambda|data) = Gamma(alpha_n+=alpha_n+x_(n+),beta_n+=(beta_n+))
(only one new datum)",#exactinference,4,2708,"['The', 'hyperparameters', 'of', 'the', 'posterior', 'are', 'alpha', 'sum', 'of', 'all', 'x_i', 'beta', 'number', 'of', 'trials', 'Thus', ""we'd"", 'need', 'the', 'sum', 'of', 'all', 'x_i', 'n', 'should', 'be', 'contained', 'with', 'this', 'otherwise', 'n', 'should', 'be', 'needed', 'as', 'well', 'P', 'lambda', 'data', 'Gamma', 'alpha_n', 'alpha_n', 'x_', 'n', 'beta_n', 'beta_n', 'only', 'one', 'new', 'datum']","['the', 'hyperparamet', 'of', 'the', 'posterior', 'are', 'alpha', 'sum', 'of', 'all', 'x_i', 'beta', 'number', 'of', 'trial', 'thus', ""we'd"", 'need', 'the', 'sum', 'of', 'all', 'x_i', 'n', 'should', 'be', 'contain', 'with', 'this', 'otherwis', 'n', 'should', 'be', 'need', 'as', 'well', 'p', 'lambda', 'data', 'gamma', 'alpha_n', 'alpha_n', 'x_', 'n', 'beta_n', 'beta_n', 'onli', 'one', 'new', 'datum']","['hyperparamet', 'posterior', 'alpha', 'sum', 'x_i', 'beta', 'number', 'trial', 'thus', ""we'd"", 'need', 'sum', 'x_i', 'n', 'contain', 'otherwis', 'n', 'need', 'well', 'p', 'lambda', 'data', 'gamma', 'alpha_n', 'alpha_n', 'x_', 'n', 'beta_n', 'beta_n', 'onli', 'one', 'new', 'datum']",hyperparamet posterior alpha sum x_i beta number trial thus we'd need sum x_i n contain otherwis n need well p lambda data gamma alpha_n alpha_n x_ n beta_n beta_n onli one new datum,decisioninference,CS,CS112,29.52,17.3,16.84,0.0,16.5,9.53,14.36,19.5
31074,"#correlation: . The Dreber et al. paper uses different correlational measures to shed light on their findings and clear up any confounders that might exist. They didn't stop while seeing the correlation between #punishment and average payoff, but go on and test the correlation between P( punishment to D) and average payoff to clear up some ",#correlation,3,198,"['correlation', 'The', 'Dreber', 'et', 'al', 'paper', 'uses', 'different', 'correlational', 'measures', 'to', 'shed', 'light', 'on', 'their', 'findings', 'and', 'clear', 'up', 'any', 'confounders', 'that', 'might', 'exist', 'They', ""didn't"", 'stop', 'while', 'seeing', 'the', 'correlation', 'between', 'punishment', 'and', 'average', 'payoff', 'but', 'go', 'on', 'and', 'test', 'the', 'correlation', 'between', 'P', 'punishment', 'to', 'D', 'and', 'average', 'payoff', 'to', 'clear', 'up', 'some']","['correl', 'the', 'dreber', 'et', 'al', 'paper', 'use', 'differ', 'correl', 'measur', 'to', 'shed', 'light', 'on', 'their', 'find', 'and', 'clear', 'up', 'ani', 'confound', 'that', 'might', 'exist', 'they', ""didn't"", 'stop', 'while', 'see', 'the', 'correl', 'between', 'punish', 'and', 'averag', 'payoff', 'but', 'go', 'on', 'and', 'test', 'the', 'correl', 'between', 'p', 'punish', 'to', 'd', 'and', 'averag', 'payoff', 'to', 'clear', 'up', 'some']","['correl', 'dreber', 'et', 'al', 'paper', 'differ', 'correl', 'measur', 'shed', 'light', 'find', 'clear', 'ani', 'confound', 'exist', 'stop', 'see', 'correl', 'punish', 'averag', 'payoff', 'go', 'test', 'correl', 'p', 'punish', 'averag', 'payoff', 'clear']",correl dreber et al paper differ correl measur shed light find clear ani confound exist stop see correl punish averag payoff go test correl p punish averag payoff clear,correlation,CS,,42.04,14.6,12.98,0.0,15.8,11.33,11.61,16.5
92137,"I think they are not logically equivalent as their conclusion patterns differ from one to another. Let the event ""narwhals exist"" P, and the event ""unicons are invisible"" Q. The first statement can be expressed as (P→Q) and the second one can be expressed as (¬P→¬Q_x_). Here when P(T, T, F, F) and Q(T, F, T, F), the conclusion pattern of the first statement is TFTT and the second one will be TTFT. Hence, they are not logically equivalent.",#deduction,3,2182,"['I', 'think', 'they', 'are', 'not', 'logically', 'equivalent', 'as', 'their', 'conclusion', 'patterns', 'differ', 'from', 'one', 'to', 'another', 'Let', 'the', 'event', 'narwhals', 'exist', 'P', 'and', 'the', 'event', 'unicons', 'are', 'invisible', 'Q', 'The', 'first', 'statement', 'can', 'be', 'expressed', 'as', 'P', 'Q', 'and', 'the', 'second', 'one', 'can', 'be', 'expressed', 'as', 'P', 'Q_x_', 'Here', 'when', 'P', 'T', 'T', 'F', 'F', 'and', 'Q', 'T', 'F', 'T', 'F', 'the', 'conclusion', 'pattern', 'of', 'the', 'first', 'statement', 'is', 'TFTT', 'and', 'the', 'second', 'one', 'will', 'be', 'TTFT', 'Hence', 'they', 'are', 'not', 'logically', 'equivalent']","['i', 'think', 'they', 'are', 'not', 'logic', 'equival', 'as', 'their', 'conclus', 'pattern', 'differ', 'from', 'one', 'to', 'anoth', 'let', 'the', 'event', 'narwhal', 'exist', 'p', 'and', 'the', 'event', 'unicon', 'are', 'invis', 'q', 'the', 'first', 'statement', 'can', 'be', 'express', 'as', 'p', 'q', 'and', 'the', 'second', 'one', 'can', 'be', 'express', 'as', 'p', 'q_x_', 'here', 'when', 'p', 't', 't', 'f', 'f', 'and', 'q', 't', 'f', 't', 'f', 'the', 'conclus', 'pattern', 'of', 'the', 'first', 'statement', 'is', 'tftt', 'and', 'the', 'second', 'one', 'will', 'be', 'ttft', 'henc', 'they', 'are', 'not', 'logic', 'equival']","['think', 'logic', 'equival', 'conclus', 'pattern', 'differ', 'one', 'anoth', 'let', 'event', 'narwhal', 'exist', 'p', 'event', 'unicon', 'invis', 'q', 'first', 'statement', 'express', 'p', 'q', 'second', 'one', 'express', 'p', 'q_x_', 'p', 'f', 'f', 'q', 'f', 'f', 'conclus', 'pattern', 'first', 'statement', 'tftt', 'second', 'one', 'ttft', 'henc', 'logic', 'equival']",think logic equival conclus pattern differ one anoth let event narwhal exist p event unicon invis q first statement express p q second one express p q_x_ p f f q f f conclus pattern first statement tftt second one ttft henc logic equival,deduction,AH,AH154,35.28,19.3,17.6,0.0,21.3,9.19,13.0,22.0
